Category,Code,Name,Width (mm),Thickness (mm),Diameter (mm),Depth (mm),Flange TF (mm),Web TW (mm),Weight (kg/m),Length Options (m),Grade,Standard
Duragal Angles,DGA05040,Duragal Angle 50x50x4mm,50,4,,,,,2.79,6.0,450,TS100
Duragal Angles,DGA05050,Duragal Angle 50x50x5mm,50,5,,,,,3.42,6.0,450,TS100
Duragal Angles,DGA05060,Duragal Angle 50x50x6mm,50,6,,,,,4.21,9.0,450,TS100
Duragal Angles,DGA06540,Duragal Angle 65x65x4mm,65,4,,,,,3.69,9.0,450,TS100
Duragal Angles,DGA06560,Duragal Angle 65x65x6mm,65,6,,,,,5.62,9.0,450,TS100
Duragal Angles,DGA07550,Duragal Angle 75x75x5mm,75,5,,,,,5.26,9.0,450,TS100
Duragal Angles,DGA07560,Duragal Angle 75x75x6mm,75,6,,,,,6.56,9.0,450,TS100
Duragal Angles,DGA10060,Duragal Angle 100x100x10mm,100,10,,,,,8.92,12.0,450,TS100
Duragal Channels,DGC075404,Duragal Channel 75x40x4mm,75,4,,40,,,4.25,9.0,450,TS100
Duragal Channels,DGC100504,Duragal Channel 100x50x4mm,100,4,,50,,,5.59,9.0,450,TS100
Duragal Channels,DGC125654,Duragal Channel 125x65x4mm,125,4,,65,,,7.23,9.0,450,TS100
Duragal Channels,DGC150755,Duragal Channel 150x75x5mm,150,5,,75,,,10.50,12.0,450,TS100
Duragal Channels,DGC200755,Duragal Channel 200x75x5mm,200,5,,75,,,12.40,12.0,450,TS100
Duragal Channels,DGC230756,Duragal Channel 230x75x6mm,230,6,,75,,,16.90,12.0,450,TS100
Duragal Channels,DGC250906,Duragal Channel 250x90x6mm,250,6,,90,,,19.20,12.0,450,TS100
Reinforcing Grade 300,SRD10,Reinforcing Bar Grade 300 10mm,,,10,,,0.62,6.0,300,AS/NZS 4671
Reinforcing Grade 300,SRD12,Reinforcing Bar Grade 300 12mm,,,12,,,0.89,6.0,300,AS/NZS 4671
Reinforcing Grade 300,SRD16,Reinforcing Bar Grade 300 16mm,,,16,,,1.58,6.0,300,AS/NZS 4671
Reinforcing Grade 300,SRD20,Reinforcing Bar Grade 300 20mm,,,20,,,2.47,6.0,300,AS/NZS 4671
Reinforcing Grade 500,SRHD10,Reinforcing Bar Grade 500 10mm,,,10,,,0.62,6.0,500,AS/NZS 4671
Reinforcing Grade 500,SRHD12,Reinforcing Bar Grade 500 12mm,,,12,,,0.89,6.0,500,AS/NZS 4671
Reinforcing Grade 500,SRHD16,Reinforcing Bar Grade 500 16mm,,,16,,,1.58,6.0,500,AS/NZS 4671
Reinforcing Grade 500,SRHD20,Reinforcing Bar Grade 500 20mm,,,20,,,2.47,6.0,500,AS/NZS 4671
